Block,Question,Small - Medium,Medium - Large,Small - Large
chain,1,0.7941115537860516,0.5270482722872187,0.3831254687834521
chain,2,0.05311160082518696,0.36553213186667033,0.29310315856380553
chain,3,0.2071962981722978,0.5100191684333344,0.060249471982805565
chain,4,0.3609794872434987,0.9087685671246205,0.4265553719550915
chain,5,0.8923905698807251,0.2576512716644369,0.33380552798563945
CC,1,0.09426430684121027,0.5264132859463417,0.29310315856380553
CC,2,0.5536068495512285,0.24819929681578667,0.5892821927531793
CC,3,0.6776004804244087,0.3546797323029479,0.19033773862421788
CC,4,0.5661198581073097,0.028454662438084765,0.11370814172305653
CC,5,0.8899170793278578,0.8955329031670438,0.7909837998922139
CC,6,0.29184054514378865,0.002155976303634296,0.015963479851210566
CC,7,0.5064574712477684,0.9023495901694862,0.5892821927531791
CE,1,0.8494984966467855,0.6941102858630491,0.5697409019512752
CE,2,0.933321988291397,0.9087685671246205,0.9772148502086759
CE,3,0.6590066355430351,0.025396544687643192,0.01022652708918341
CE,4,0.5064574712477684,0.5171282864747441,0.9772148502086759
CE,5,0.0017718191341632018,0.6933057769770841,0.005679041078583959
CE,6,0.15002165543667417,0.914864745735549,0.18511591391340854
CE,7,0.5769991622487405,0.24819929681578667,0.09605703482654153
chain,small - large,0.07150224383750281,0.4100343479547284,0.32376742455125973
CC,small - large,0.11773806097940626,0.03697335424983683,0.6295983802568705
CE,small - large,0.3204294342639773,0.19687789555103474,0.7858655651858165
small,chain - CE,0.8501182020108746,0.8360067499694894,1.0
medium,chain - CE,0.7370731076000678,0.42090318449394526,0.28578306301692624
large,chain - CE,0.18192399913783552,1.0,0.18192399913783552
